,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,N2O,N2O_FLAG_W,SALTREF,SALTREF_FLAG_W,HELIUM,HELIUM_FLAG_W,DELO18,DELO18_FLAG_W,CCL4,CCL4_FLAG_W,BTL_DATE,BTL_TIME
1,33RO20131223,       A16S,1.0,2.0,24.0,24.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,     3.9,  26.2239,  36.3097,2.0,  36.3082,2.0,    199.1,2.0,   201.2,2.0,     0.7,2.0,     0.0,2.0,    0.00,2.0,   0.115,2.0,   1.644,3.0,   1.095,3.0,   1.273,3.0,  2065.6,6.0, 2377.43,6.0,-999.0000,9.0, -999.00,8.0388,2.0,       25,-999.000,9.0,  26.2231,2.0,    1.32,2.0,    47.3,2.0,     2.5,  69.22354955,2.0,         6.47,2.0,     3.9,      6.670,3.0,    36.4794,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,706.0
2,33RO20131223,       A16S,1.0,2.0,23.0,23.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,    22.5,  26.2331,  36.3090,2.0,  36.3171,2.0,    199.4,2.0,   201.3,2.0,     0.8,2.0,     0.0,2.0,    0.00,2.0,   0.120,2.0,   1.640,3.0,   1.098,3.0,   1.300,3.0,  2065.9,2.0, 2375.73,2.0,-999.0000,9.0, -999.00,8.0375,2.0,       25,-999.000,9.0,  26.2318,2.0,    1.30,2.0,    43.4,2.0,     2.1,  66.91460738,2.0,         5.16,2.0,    22.5,      6.729,3.0,    36.4884,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,704.0
3,33RO20131223,       A16S,1.0,2.0,22.0,22.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,    47.4,  26.2335,  36.3078,2.0,  36.3080,2.0,      200,2.0,   201.9,2.0,     0.8,2.0,     0.0,2.0,    0.00,2.0,   0.129,2.0,   1.638,3.0,   1.097,3.0,   1.311,3.0,  2066.1,2.0, 2378.84,2.0,-999.0000,9.0, -999.00,8.0396,2.0,       25,-999.000,9.0,  26.2334,2.0,    1.32,2.0,    51.4,2.0,     2.1,   66.7702985,2.0,         5.11,2.0,    47.4,      6.702,3.0,    36.4792,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,702.0
4,33RO20131223,       A16S,1.0,2.0,21.0,21.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,    72.1,  26.2112,  36.3044,2.0,  36.3055,2.0,    200.6,2.0,     201,2.0,     0.8,2.0,     0.0,2.0,    0.00,2.0,   0.137,2.0,   1.638,3.0,   1.094,3.0,   1.274,3.0,  2065.9,2.0, 2375.79,6.0,-999.0000,9.0, -999.00,8.0425,2.0,       25,-999.000,9.0,  26.2092,2.0,    1.35,2.0,    47.2,2.0,     2.4,  66.12090851,2.0,         4.82,2.0,    72.1,      6.746,3.0,    36.4767,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,700.0
5,33RO20131223,       A16S,1.0,2.0,20.0,20.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,    97.5,  24.2160,  36.1165,2.0,  36.1258,2.0,    193.2,2.0,   190.1,2.0,     1.4,2.0,     1.3,2.0,    0.25,2.0,   0.287,2.0,   1.779,3.0,   1.174,3.0,   1.296,3.0,  2083.4,2.0, 2370.16,2.0,-999.0000,9.0, -999.00,7.9991,6.0,       25,-999.000,9.0,  24.1621,2.0,    1.24,2.0,    46.0,2.0,     2.6,    64.244893,2.0,         5.33,2.0,    97.5,      8.374,3.0,    36.2961,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,658.0
6,33RO20131223,       A16S,1.0,2.0,19.0,19.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,   147.3,  15.5167,  35.6384,2.0,  35.6247,2.0,    104.9,2.0,   103.3,2.0,     6.3,2.0,    19.9,2.0,    0.03,2.0,   1.343,2.0,   2.149,3.0,   1.296,3.0,   0.884,3.0,  2192.9,3.0, 2338.25,2.0,-999.0000,9.0, -999.00,7.7105,2.0,       25,-999.000,9.0,  15.4353,2.0,    0.46,2.0,    45.2,2.0,     2.1,  54.41024246,2.0,        23.02,2.0,   147.3,     26.795,3.0,    35.7927,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,656.0
7,33RO20131223,       A16S,1.0,2.0,18.0,18.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,   222.8,  12.0808,  35.1686,2.0,  35.1586,2.0,    109.3,2.0,   108.6,2.0,     9.6,2.0,    24.2,2.0,    0.01,2.0,   1.607,2.0,   2.099,3.0,   1.207,3.0,   0.643,3.0,  2198.4,2.0, 2314.48,2.0,-999.0000,9.0, -999.00,7.6421,2.0,       25,-999.000,9.0,  12.0768,2.0,    0.49,2.0,    24.8,2.0,     2.2,  50.39124001,2.0,         26.6,2.0,   222.8,     29.766,3.0,    35.3244,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,654.0
8,33RO20131223,       A16S,1.0,2.0,17.0,17.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,   296.4,   9.8716,  34.8809,2.0,  34.8809,2.0,      124,2.0,     125,2.0,    12.8,2.0,    26.7,2.0,    0.01,2.0,   1.772,2.0,   2.009,3.0,   1.122,3.0,   0.545,3.0,  2200.8,4.0, 2299.35,2.0,-999.0000,9.0, -999.00,7.6151,2.0,       25,-999.000,9.0,   9.8723,2.0,    0.62,2.0,     9.9,2.0,     2.3,  48.22660673,2.0,        29.15,2.0,   296.4,     28.723,3.0,    35.0454,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,651.0
9,33RO20131223,       A16S,1.0,2.0,16.0,16.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,   406.5,   8.4675,  34.7567,2.0,  34.7520,2.0,     83.8,2.0,    81.4,2.0,    18.0,2.0,    34.6,2.0,    0.01,2.0,   2.242,2.0,   0.973,3.0,   0.532,3.0,   0.155,3.0,  2234.7,6.0, 2295.94,2.0,-999.0000,9.0, -999.00,7.4894,2.0,       25,-999.000,9.0,   8.4655,2.0,    0.34,3.0,   -31.4,2.0,     2.5,  46.09805067,2.0,        37.11,2.0,   406.5,     36.938,3.0,    34.9158,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,648.0
10,33RO20131223,       A16S,1.0,2.0,15.0,15.0,2.0,20131226.0,459.0,-6.0016,-24.9998,       5809,   517.9,   7.1433,  34.6371,2.0,  34.6366,2.0,     93.8,2.0,    88.6,2.0,    21.8,2.0,    36.4,2.0,    0.00,2.0,   2.391,2.0,   0.972,3.0,   0.533,3.0,   0.177,3.0,  2238.1,2.0, 2292.53,2.0,-999.0000,9.0, -999.00,7.5009,3.0,       25,-999.000,9.0,    7.147,2.0,    0.29,3.0,   -61.0,2.0,     2.9,  44.39520582,2.0,         38.6,2.0,   517.9,     37.137,3.0,    34.7999,2.0,     -999.0,9.0,         -999.0,9.0,  -999.0,9.0,20131226.0,645.0
